,date,hour,accidents
0,12/31/15,0,17
1,12/30/15,6,1
2,12/31/15,0,13
3,12/31/15,10,20
4,12/31/15,11,21
5,12/31/15,12,30
6,12/31/15,13,32
7,12/30/15,6,1
8,12/31/15,14,37
9,12/31/15,15,29
10,12/31/15,16,26
11,12/31/15,17,1
12,12/31/15,16,6
13,12/31/15,17,42
14,12/31/15,18,31
15,12/31/15,19,28
16,12/31/15,1,12
17,12/31/15,20,19
18,12/30/15,9,1
19,12/31/15,20,15
20,12/31/15,21,15
21,12/31/15,22,21
22,12/31/15,23,14
23,12/31/15,2,4
24,12/31/15,8,1
25,12/31/15,2,6
26,12/31/15,3,6
27,12/31/15,4,2
28,12/31/15,5,12
29,12/31/15,6,10
30,12/31/15,7,10
31,12/31/15,8,25
32,12/31/15,9,22
33,12/30/15,0,8
34,12/30/15,10,20
35,12/30/15,11,21
36,12/30/15,12,34
37,12/30/15,13,31
38,12/30/15,14,4
39,12/24/15,10,1
40,12/30/15,14,31
41,12/30/15,15,15
42,12/30/15,19,1
43,12/30/15,15,8
44,12/30/15,16,30
45,12/30/15,17,37
46,12/30/15,18,48
47,12/30/15,19,35
48,12/30/15,1,3
49,12/30/15,20,23
50,12/30/15,21,26
51,12/30/15,22,32
52,12/30/15,23,13
53,12/29/15,13,1
54,12/30/15,23,9
55,12/30/15,2,1
56,12/30/15,3,3
57,12/30/15,4,4
58,12/30/15,5,7
59,12/30/15,6,7
60,12/30/15,7,9
61,12/30/15,8,17
62,12/30/15,9,20
63,12/29/15,0,8
64,12/29/15,10,27
65,12/29/15,11,36
66,12/29/15,12,28
67,12/29/15,13,34
68,12/29/15,17,1
69,12/29/15,13,15
70,12/29/15,14,41
71,12/29/15,15,26
72,12/29/15,16,26
73,12/29/15,17,43
74,12/29/15,18,11
75,12/29/15,6,1
76,12/29/15,18,23
77,12/28/15,15,1
78,12/29/15,19,25
79,12/29/15,1,5
80,12/29/15,20,24
81,12/29/15,21,12
82,12/29/15,22,25
83,12/29/15,23,12
84,12/29/15,2,7
85,12/29/15,3,6
86,12/29/15,4,1
87,12/28/15,20,1
88,12/29/15,4,2
89,12/29/15,5,6
90,12/29/15,6,16
91,12/29/15,7,15
92,12/29/15,8,17
93,12/29/15,9,39
94,12/28/15,0,9
95,12/28/15,10,25
96,12/28/15,11,28
97,12/28/15,12,27
98,12/28/15,13,37
99,12/28/15,14,43
100,12/28/15,15,39
101,12/28/15,16,39
102,12/28/15,17,35
103,12/28/15,18,29
104,12/28/15,19,26
105,12/28/15,1,10
106,12/28/15,20,31
107,12/28/15,21,14
108,12/28/15,22,16
109,12/28/15,23,7
110,12/28/15,2,6
111,12/28/15,3,1
112,12/28/15,5,4
113,12/28/15,6,9
114,12/28/15,7,7
115,12/28/15,8,18
116,12/28/15,9,6
117,12/27/15,0,1
118,12/28/15,9,22
119,12/27/15,0,28
120,12/27/15,10,19
121,12/27/15,11,8
122,12/27/15,12,13
123,12/27/15,13,1
124,12/27/15,12,20
125,12/27/15,13,27
126,12/27/15,14,30
127,12/27/15,15,15
128,12/27/15,1,1
129,12/27/15,15,4
130,12/27/15,16,19
131,12/27/15,1,1
132,12/27/15,16,9
133,12/27/15,17,28
134,12/27/15,18,43
135,12/27/15,19,31
136,12/27/15,1,14
137,12/27/15,20,31
138,12/27/15,21,29
139,12/27/15,22,22
140,12/27/15,23,10
141,12/27/15,2,16
142,12/27/15,3,17
143,12/27/15,4,13
144,12/27/15,5,15
145,12/27/15,6,8
146,12/27/15,7,4
147,12/27/15,8,21
148,12/27/15,9,19
149,12/26/15,0,7
150,12/26/15,10,10
151,12/26/15,11,19
152,12/26/15,12,25
153,12/26/15,13,1
154,12/26/15,12,1
155,12/26/15,13,26
156,12/26/15,14,24
157,12/26/15,15,15
158,12/26/15,16,3
159,12/26/15,1,1
160,12/26/15,16,23
161,12/26/15,17,34
162,12/26/15,18,12
163,12/26/15,2,1
164,12/26/15,18,11
165,12/26/15,19,11
166,12/26/15,2,1
167,12/26/15,19,18
168,12/26/15,1,7
169,12/26/15,20,22
170,12/26/15,9,1
171,12/26/15,20,2
172,12/26/15,21,22
173,12/26/15,22,19
174,12/26/15,23,25
175,12/26/15,2,4
176,12/26/15,3,13
177,12/26/15,4,8
178,12/26/15,5,4
179,12/26/15,6,3
180,12/26/15,7,3
181,12/26/15,8,6
182,12/26/15,9,12
183,12/25/15,0,11
184,12/25/15,10,8
185,12/25/15,11,14
186,12/25/15,12,15
187,12/25/15,13,24
188,12/25/15,14,14
189,12/25/15,15,1
190,12/25/15,20,1
191,12/25/15,15,15
192,12/25/15,16,18
193,12/25/15,17,23
194,12/25/15,18,14
195,12/24/15,10,1
196,12/25/15,18,12
197,12/25/15,19,20
198,12/25/15,1,12
199,12/25/15,20,9
200,12/25/15,21,12
201,12/25/15,22,17
202,12/25/15,23,18
203,12/25/15,2,16
204,12/25/15,3,10
205,12/25/15,4,7
206,12/25/15,5,5
207,12/25/15,6,4
208,12/25/15,7,5
209,12/25/15,8,7
210,12/25/15,9,9
211,12/24/15,0,16
212,12/24/15,10,24
213,12/24/15,11,25
214,12/24/15,12,36
215,12/24/15,13,43
216,12/24/15,14,47
217,12/24/15,15,41
218,12/24/15,16,20
219,12/24/15,18,1
220,12/24/15,16,20
221,12/24/15,17,25
222,12/24/15,6,1
223,12/24/15,17,15
224,12/24/15,18,35
225,12/24/15,19,18
226,12/23/15,14,1
227,12/24/15,19,12
228,12/24/15,1,9
229,12/24/15,20,1
230,12/23/15,18,1
231,12/24/15,20,22
232,12/22/15,17,1
233,12/24/15,20,7
234,12/24/15,21,24
235,12/24/15,22,15
236,12/22/15,17,1
237,12/24/15,22,18
238,12/24/15,23,5
239,12/24/15,9,1
240,12/24/15,23,11
241,12/24/15,2,12
242,12/24/15,3,5
243,12/24/15,4,7
244,12/24/15,5,9
245,12/24/15,6,16
246,12/24/15,7,12
247,12/24/15,8,22
248,12/24/15,9,26
249,12/23/15,0,11
250,12/23/15,10,23
251,12/23/15,11,30
252,12/23/15,12,39
253,12/23/15,13,29
254,12/23/15,14,27
255,12/23/15,15,1
256,12/23/15,14,21
257,12/23/15,15,2
258,12/22/15,17,1
259,12/23/15,15,23
260,12/23/15,16,1
261,12/23/15,15,23
262,12/23/15,17,1
263,12/23/15,15,2
264,12/23/15,16,70
265,12/23/15,17,84
266,12/23/15,18,79
267,12/23/15,19,69
268,12/23/15,1,10
269,12/23/15,20,52
270,12/23/15,21,8
271,12/23/15,23,1
272,12/23/15,21,22
273,12/23/15,22,35
274,12/23/15,23,20
275,12/23/15,2,7
276,12/23/15,3,2
277,12/23/15,4,7
278,12/23/15,5,9
279,12/23/15,6,13
280,12/23/15,7,17
281,12/23/15,8,35
282,12/23/15,9,30
283,12/22/15,0,12
284,12/22/15,12,1
285,12/22/15,0,1
286,12/22/15,10,41
287,12/22/15,11,30
288,12/22/15,12,32
289,12/22/15,13,31
290,12/22/15,14,48
291,12/22/15,15,34
292,12/22/15,16,49
293,12/22/15,17,63
294,12/22/15,21,1
295,12/22/15,17,1
296,12/22/15,18,48
297,12/17/15,18,1
298,12/22/15,19,45
299,12/22/15,1,2
300,12/22/15,23,1
301,12/22/15,1,3
302,12/22/15,20,21
303,12/22/15,9,1
304,12/22/15,20,22
305,12/17/15,9,1
306,12/22/15,20,1
307,12/22/15,21,33
308,12/22/15,22,11
309,12/16/15,10,1
310,12/22/15,22,10
311,12/22/15,23,21
312,12/22/15,2,2
313,12/22/15,3,2
314,12/22/15,4,4
315,12/22/15,5,4
316,12/22/15,6,24
317,12/22/15,7,13
318,12/22/15,8,44
319,12/22/15,9,15
320,12/16/15,21,1
321,12/22/15,9,25
322,12/21/15,0,17
323,12/21/15,10,31
324,12/21/15,11,20
325,12/21/15,19,1
326,12/21/15,11,11
327,12/21/15,12,37
328,12/21/15,13,40
329,12/21/15,14,23
330,12/21/15,19,1
331,12/21/15,14,24
332,12/21/15,15,39
333,12/21/15,16,6
334,12/21/15,20,1
335,12/21/15,16,33
336,12/21/15,17,49
337,12/21/15,18,10
338,12/21/15,20,1
339,12/21/15,18,24
340,12/16/15,21,1
341,12/21/15,18,7
342,12/21/15,19,37
343,12/21/15,1,2
344,12/21/15,20,1
345,12/21/15,1,1
346,12/21/15,20,27
347,12/21/15,21,8
348,12/21/15,22,15
349,12/21/15,23,16
350,12/21/15,2,2
351,12/21/15,3,4
352,12/21/15,4,5
353,12/21/15,5,6
354,12/21/15,6,11
355,12/21/15,7,20
356,12/21/15,8,2
357,12/21/15,9,1
358,12/21/15,8,41
359,12/21/15,9,37
360,12/20/15,0,15
361,12/16/15,21,1
362,12/20/15,0,2
363,12/20/15,10,21
364,12/16/15,21,1
365,12/20/15,10,3
366,12/20/15,11,19
367,12/20/15,17,1
368,12/20/15,11,1
369,12/20/15,12,21
370,12/20/15,4,1
371,12/20/15,12,5
372,12/20/15,13,34
373,12/20/15,14,6
374,12/19/15,10,1
375,12/20/15,14,22
376,12/19/15,19,1
377,12/20/15,14,6
378,12/20/15,15,26
379,12/20/15,16,31
380,12/20/15,17,45
381,12/20/15,18,32
382,12/20/15,19,27
383,12/20/15,1,27
384,12/20/15,20,15
385,12/20/15,21,15
386,12/20/15,22,15
387,12/20/15,23,13
388,12/20/15,2,10
389,12/20/15,3,7
390,12/20/15,4,19
391,12/20/15,5,11
392,12/20/15,6,11
393,12/20/15,7,5
394,12/20/15,8,21
395,12/20/15,9,13
396,12/19/15,0,20
397,12/19/15,10,1
398,12/16/15,23,1
399,12/19/15,10,27
400,12/19/15,11,41
401,12/19/15,12,27
402,12/19/15,13,33
403,12/19/15,14,35
404,12/19/15,15,33
405,12/19/15,16,36
406,12/19/15,17,46
407,12/19/15,18,25
408,12/19/15,21,1
409,12/19/15,18,22
410,12/19/15,19,27
411,12/19/15,1,28
412,12/19/15,20,35
413,12/19/15,21,3
414,12/19/15,6,1
415,12/19/15,21,20
416,12/19/15,22,16
417,12/19/15,23,21
418,12/19/15,2,18
419,12/19/15,3,15
420,12/19/15,4,12
421,12/19/15,5,13
422,12/19/15,6,7
423,12/19/15,7,8
424,12/19/15,8,24
425,12/19/15,9,27
426,12/18/15,0,13
427,12/18/15,10,16
428,12/18/15,13,1
429,12/18/15,10,21
430,12/18/15,11,2
431,12/18/15,13,1
432,12/18/15,11,23
433,12/17/15,0,1
434,12/18/15,11,18
435,12/18/15,12,34
436,12/18/15,13,38
437,12/18/15,14,56
438,12/18/15,15,48
439,12/18/15,16,13
440,12/17/15,12,1
441,12/18/15,16,36
442,12/18/15,17,44
443,12/18/15,18,12
444,12/15/15,1,1
445,12/18/15,18,23
446,12/15/15,23,1
447,12/18/15,18,23
448,12/15/15,23,1
449,12/18/15,18,8
450,12/18/15,19,35
451,12/18/15,1,13
452,12/18/15,20,49
453,12/18/15,21,29
454,12/18/15,22,31
455,12/18/15,23,24
456,12/18/15,2,8
457,12/18/15,3,12
458,12/18/15,4,2
459,12/17/15,14,1
460,12/18/15,4,1
461,12/18/15,5,7
462,12/18/15,6,15
463,12/17/15,17,1
464,12/18/15,6,5
465,12/18/15,7,20
466,12/18/15,8,21
467,12/17/15,17,1
468,12/18/15,8,23
469,12/18/15,9,42
470,12/17/15,0,13
471,12/17/15,10,35
472,12/17/15,11,40
473,12/17/15,12,40
474,12/17/15,13,33
475,12/17/15,14,57
476,12/17/15,15,42
477,12/17/15,16,24
478,12/17/15,17,1
479,12/17/15,16,35
480,12/17/15,17,77
481,12/17/15,18,53
482,12/17/15,9,1
483,12/17/15,18,16
484,12/17/15,19,35
485,12/17/15,1,9
486,12/17/15,20,35
487,12/17/15,21,20
488,12/17/15,22,1
489,12/17/15,9,1
490,12/17/15,22,25
491,12/17/15,23,14
492,12/17/15,2,3
493,12/17/15,3,1
494,12/17/15,4,3
495,12/17/15,5,1
496,12/17/15,7,1
497,12/17/15,5,4
498,12/17/15,6,13
499,12/17/15,7,24
500,12/17/15,8,47
501,12/17/15,9,34
502,12/16/15,0,12
503,12/16/15,10,28
504,12/16/15,12,1
505,12/16/15,10,9
506,12/16/15,11,13
507,12/16/15,14,1
508,12/16/15,11,22
509,12/16/15,12,38
510,12/16/15,13,45
511,12/16/15,14,43
512,12/16/15,15,45
513,12/16/15,16,48
514,12/16/15,17,52
515,12/16/15,18,49
516,12/16/15,19,35
517,12/16/15,1,6
518,12/16/15,20,31
519,12/16/15,21,22
520,12/16/15,22,3
521,12/15/15,7,1
522,12/16/15,22,19
523,12/16/15,23,15
524,12/16/15,2,6
525,12/16/15,3,3
526,12/16/15,4,4
527,12/16/15,5,2
528,12/16/15,6,15
529,12/16/15,7,21
530,12/16/15,8,44
531,12/16/15,9,35
532,12/15/15,0,22
533,12/15/15,14,1
534,12/15/15,10,43
535,12/15/15,11,39
536,12/15/15,12,48
537,12/15/15,13,47
538,12/15/15,14,53
539,12/15/15,15,46
540,12/15/15,16,42
541,12/15/15,17,55
542,12/15/15,18,23
543,12/14/15,10,1
544,12/15/15,18,29
545,12/15/15,19,42
546,12/15/15,1,10
547,12/15/15,20,28
548,12/15/15,21,24
549,12/15/15,22,17
550,12/15/15,23,15
551,12/15/15,2,7
552,12/15/15,3,6
553,12/15/15,4,4
554,12/15/15,5,9
555,12/15/15,6,17
556,12/15/15,7,19
557,12/15/15,8,47
558,12/15/15,9,55
559,12/14/15,11,1
560,12/14/15,0,7
561,12/14/15,10,36
562,12/14/15,11,27
563,12/14/15,12,31
564,12/14/15,13,16
565,12/14/15,15,1
566,12/14/15,13,8
567,12/14/15,14,36
568,12/14/15,15,40
569,12/14/15,16,39
570,12/14/15,17,53
571,12/14/15,18,45
572,12/14/15,19,38
573,12/14/15,21,1
574,12/14/15,19,2
575,12/14/15,1,3
576,12/14/15,20,41
577,12/14/15,21,30
578,12/14/15,22,30
579,12/14/15,23,15
580,12/14/15,2,3
581,12/14/15,3,9
582,12/14/15,4,5
583,12/14/15,5,4
584,12/14/15,6,10
585,12/14/15,7,20
586,12/14/15,8,50
587,12/14/15,9,35
588,12/13/15,0,23
589,12/13/15,10,21
590,12/13/15,11,24
591,12/13/15,12,33
592,12/13/15,13,51
593,12/13/15,14,27
594,12/13/15,15,31
595,12/13/15,16,34
596,12/13/15,17,39
597,12/13/15,18,27
598,12/13/15,19,1
599,12/12/15,0,1
600,12/13/15,19,41
601,12/13/15,1,20
602,12/13/15,20,22
603,12/13/15,21,9
604,12/12/15,11,1
605,12/13/15,21,17
606,12/13/15,22,13
607,12/13/15,23,8
608,12/13/15,2,17
609,12/13/15,3,18
610,12/13/15,4,11
611,12/13/15,5,12
612,12/13/15,6,13
613,12/13/15,7,3
614,12/13/15,8,8
615,12/12/15,13,1
616,12/13/15,8,4
617,12/13/15,9,22
618,12/12/15,0,20
619,12/12/15,10,23
620,12/12/15,11,1
621,12/12/15,12,1
622,12/12/15,11,31
623,12/12/15,12,28
624,12/12/15,13,30
625,12/12/15,14,28
626,12/12/15,15,32
627,12/12/15,16,31
628,12/12/15,17,46
629,12/12/15,18,50
630,12/12/15,19,4
631,12/12/15,1,1
632,12/12/15,19,33
633,12/12/15,1,18
634,12/12/15,20,26
635,12/12/15,21,36
636,12/12/15,22,22
637,12/12/15,23,4
638,12/11/15,0,1
639,12/12/15,23,20
640,12/12/15,2,9
641,12/12/15,3,8
642,12/12/15,4,6
643,12/12/15,5,13
644,12/12/15,6,9
645,12/12/15,7,5
646,12/11/15,10,1
647,12/12/15,7,5
648,12/12/15,8,14
649,12/12/15,9,21
650,12/11/15,0,12
651,12/11/15,10,43
652,12/11/15,11,41
653,12/11/15,12,42
654,12/11/15,13,28
655,12/11/15,15,1
656,12/11/15,13,9
657,12/11/15,14,51
658,12/11/15,15,51
659,12/11/15,16,37
660,12/11/15,17,38
661,12/11/15,18,1
662,12/11/15,17,6
663,12/11/15,18,40
664,12/10/15,13,1
665,12/11/15,18,3
666,12/11/15,19,45
667,12/11/15,1,9
668,12/11/15,20,12
669,12/10/15,1,1
670,12/11/15,20,14
671,12/11/15,21,16
672,12/11/15,22,25
673,12/11/15,23,22
674,12/11/15,2,4
675,12/11/15,3,2
676,12/11/15,4,12
677,12/11/15,5,7
678,12/11/15,6,19
679,12/11/15,7,18
680,12/11/15,8,2
681,12/5/15,16,1
682,12/11/15,8,42
683,12/11/15,9,38
684,12/10/15,0,3
685,12/10/15,10,28
686,12/10/15,11,4
687,12/5/15,1,1
688,12/10/15,11,22
689,12/10/15,12,39
690,12/10/15,13,36
691,12/10/15,14,48
692,12/10/15,15,33
693,12/10/15,16,40
694,12/10/15,17,13
695,12/5/15,21,1
696,12/10/15,17,47
697,12/10/15,18,46
698,12/10/15,19,22
699,12/10/15,1,1
700,12/10/15,19,15
701,12/10/15,1,11
702,12/10/15,20,21
703,12/10/15,6,1
704,12/10/15,20,9
705,12/10/15,21,28
706,12/10/15,22,20
707,12/10/15,23,25
708,12/10/15,2,1
709,12/10/15,3,3
710,12/10/15,4,6
711,12/10/15,5,4
712,12/10/15,6,20
713,12/10/15,7,27
714,12/9/15,14,1
715,12/10/15,8,48
716,12/10/15,9,23
717,12/3/15,11,1
718,12/10/15,9,22
719,12/9/15,0,7
720,12/9/15,10,26
721,12/9/15,11,26
722,12/9/15,12,28
723,12/9/15,13,7
724,12/9/15,17,1
725,12/9/15,13,23
726,12/9/15,14,38
727,12/9/15,15,32
728,12/9/15,16,42
729,12/9/15,17,54
730,12/9/15,18,38
731,12/9/15,19,36
732,12/9/15,1,10
733,12/9/15,20,24
734,12/9/15,21,15
735,12/9/15,22,19
736,12/9/15,23,11
737,12/9/15,2,2
738,12/9/15,3,4
739,12/9/15,9,1
740,12/9/15,4,5
741,12/9/15,5,3
742,12/9/15,6,18
743,12/9/15,7,20
744,12/9/15,8,42
745,12/9/15,9,42
746,12/8/15,0,7
747,12/8/15,10,44
748,12/8/15,11,6
749,12/8/15,18,1
750,12/8/15,11,35
751,12/8/15,12,33
752,12/8/15,13,1
753,12/8/15,18,1
754,12/8/15,13,41
755,12/8/15,14,54
756,12/8/15,15,29
757,12/8/15,16,35
758,12/8/15,17,28
759,12/8/15,18,1
760,12/8/15,17,15
761,12/8/15,18,42
762,12/8/15,19,35
763,12/8/15,1,4
764,12/8/15,20,18
765,12/8/15,21,13
766,12/8/15,22,18
767,12/8/15,23,16
768,12/8/15,2,2
769,12/8/15,4,1
770,12/8/15,5,13
771,12/8/15,6,11
772,12/8/15,7,19
773,12/8/15,8,41
774,12/8/15,9,52
775,12/7/15,0,7
776,12/7/15,10,49
777,12/7/15,11,16
778,12/3/15,14,1
779,12/7/15,11,34
780,12/7/15,12,41
781,12/7/15,13,37
782,12/7/15,14,50
783,12/7/15,15,34
784,12/7/15,16,31
785,12/7/15,17,51
786,12/7/15,18,27
787,12/7/15,19,41
788,12/7/15,1,3
789,12/7/15,7,1
790,12/7/15,1,3
791,12/7/15,20,29
792,12/7/15,21,20
793,12/7/15,22,13
794,12/7/15,23,5
795,12/7/15,8,1
796,12/7/15,23,6
797,12/7/15,2,3
798,12/7/15,3,4
799,12/7/15,4,6
800,12/7/15,5,7
801,12/7/15,6,20
802,12/7/15,7,25
803,12/7/15,8,57
804,12/7/15,9,46
805,12/6/15,0,20
806,12/6/15,10,16
807,12/6/15,11,23
808,12/6/15,12,28
809,12/6/15,13,30
810,12/6/15,14,35
811,12/6/15,15,35
812,12/6/15,16,34
813,12/6/15,17,43
814,12/6/15,18,28
815,12/6/15,19,21
816,12/6/15,1,21
817,12/6/15,20,25
818,12/6/15,21,8
819,12/5/15,10,1
820,12/6/15,21,7
821,12/6/15,22,14
822,12/6/15,23,12
823,12/6/15,2,9
824,12/6/15,3,11
825,12/6/15,4,14
826,12/6/15,5,8
827,12/6/15,6,6
828,12/6/15,7,5
829,12/6/15,8,14
830,12/6/15,9,15
831,12/5/15,15,1
832,12/6/15,9,1
833,12/5/15,0,20
834,12/5/15,10,25
835,12/5/15,11,21
836,12/3/15,14,1
837,12/5/15,11,10
838,12/5/15,12,12
839,12/1/15,11,1
840,12/5/15,12,21
841,12/5/15,13,39
842,12/5/15,14,8
843,12/5/15,15,1
844,12/5/15,14,43
845,12/5/15,15,19
846,12/5/15,16,39
847,12/5/15,17,49
848,12/5/15,18,44
849,12/5/15,19,28
850,12/5/15,1,13
851,12/5/15,20,27
852,12/5/15,21,27
853,12/5/15,22,13
854,12/5/15,4,1
855,12/5/15,22,16
856,12/5/15,23,24
857,12/5/15,2,15
858,12/5/15,3,15
859,12/5/15,4,14
860,12/5/15,5,11
861,12/5/15,6,7
862,12/5/15,7,5
863,12/5/15,8,26
864,12/5/15,9,8
865,12/4/15,13,1
866,12/5/15,9,23
867,12/4/15,0,13
868,12/4/15,10,34
869,12/4/15,11,28
870,12/4/15,12,31
871,12/4/15,13,33
872,12/4/15,14,48
873,12/4/15,15,20
874,12/3/15,10,1
875,12/4/15,15,39
876,12/4/15,16,39
877,12/4/15,17,50
878,12/4/15,18,52
879,12/4/15,19,51
880,12/4/15,1,12
881,12/4/15,20,37
882,12/4/15,21,15
883,12/4/15,22,26
884,12/4/15,23,15
885,12/4/15,2,5
886,12/4/15,3,2
887,12/4/15,4,4
888,12/4/15,5,11
889,12/4/15,6,12
890,12/4/15,7,22
891,12/4/15,8,45
892,12/4/15,9,35
893,12/3/15,0,9
894,12/3/15,10,33
895,12/3/15,11,29
896,12/3/15,12,36
897,12/3/15,13,29
898,12/1/15,12,1
899,12/3/15,13,10
900,12/3/15,14,43
901,12/3/15,15,43
902,12/3/15,16,36
903,12/3/15,17,49
904,12/3/15,18,49
905,12/3/15,19,37
906,12/3/15,1,6
907,12/3/15,20,28
908,12/3/15,21,12
909,12/3/15,22,24
910,12/3/15,23,15
911,12/3/15,2,5
912,12/3/15,3,3
913,12/3/15,4,5
914,12/3/15,5,7
915,12/3/15,6,8
916,12/3/15,7,16
917,12/3/15,8,2
918,12/2/15,10,1
919,12/3/15,8,44
920,12/3/15,9,24
921,12/2/15,18,1
922,12/3/15,9,17
923,12/2/15,0,13
924,12/2/15,10,33
925,12/2/15,11,36
926,12/2/15,12,28
927,12/2/15,13,28
928,12/2/15,14,43
929,12/2/15,15,39
930,12/2/15,16,44
931,12/2/15,17,22
932,12/2/15,19,1
933,12/2/15,17,29
934,12/2/15,18,44
935,12/2/15,19,43
936,12/2/15,1,10
937,12/2/15,20,31
938,12/2/15,21,28
939,12/2/15,22,30
940,12/2/15,23,14
941,12/2/15,2,3
942,12/1/15,15,1
943,12/2/15,3,5
944,12/2/15,4,4
945,12/2/15,5,10
946,12/2/15,6,28
947,12/2/15,7,22
948,12/2/15,8,35
949,12/2/15,9,28
950,12/1/15,0,10
951,12/1/15,10,39
952,12/1/15,11,29
953,12/1/15,18,1
954,12/1/15,11,9
955,12/1/15,12,31
956,12/1/15,13,51
957,12/1/15,14,23
958,12/1/15,15,1
959,12/1/15,14,18
960,12/1/15,15,27
961,12/1/15,16,1
962,12/1/15,15,12
963,12/1/15,16,48
964,12/1/15,17,64
965,12/1/15,18,54
966,12/1/15,19,58
967,12/1/15,1,6
968,12/1/15,20,43
969,12/1/15,21,31
970,12/1/15,22,15
971,12/1/15,23,23
972,12/1/15,2,7
973,12/1/15,3,6
974,12/1/15,4,7
975,12/1/15,5,9
976,12/1/15,6,18
977,12/1/15,7,20
978,12/1/15,8,40
979,12/1/15,9,40
980,11/30/15,0,7
981,11/30/15,10,43
982,11/30/15,11,14
983,11/30/15,16,1
984,11/30/15,11,20
985,11/30/15,12,27
986,11/30/15,18,1
987,11/30/15,12,5
988,11/30/15,13,18
989,11/30/15,16,1
990,11/30/15,13,2
991,11/30/15,14,46
992,11/30/15,15,42
993,11/30/15,16,1
994,11/30/15,17,1
995,11/30/15,16,23
996,11/30/15,17,1
997,11/30/15,16,15
998,11/30/15,17,55
999,11/30/15,18,39
1000,11/30/15,19,22
1001,11/30/15,1,4
1002,11/30/15,20,19
1003,11/30/15,21,12
1004,11/29/15,11,1
1005,11/30/15,21,10
1006,11/30/15,22,14
1007,11/30/15,23,11
1008,11/30/15,2,2
1009,11/30/15,3,2
1010,11/30/15,4,6
1011,11/30/15,5,1
1012,11/24/15,16,1
1013,11/30/15,5,2
1014,11/30/15,6,16
1015,11/30/15,7,19
1016,11/30/15,8,54
1017,11/30/15,9,55
1018,11/29/15,0,18
1019,11/29/15,10,14
1020,11/29/15,11,28
1021,11/29/15,12,36
1022,11/29/15,13,34
1023,11/29/15,14,37
1024,11/29/15,15,8
1025,11/29/15,17,1
1026,11/29/15,15,20
1027,11/29/15,16,3
1028,11/28/15,12,1
1029,11/29/15,16,23
1030,11/28/15,16,1
1031,11/29/15,17,29
1032,11/29/15,18,33
1033,11/29/15,19,23
1034,11/29/15,1,7
1035,11/29/15,20,1
1036,11/28/15,16,1
1037,11/29/15,20,19
1038,11/29/15,21,17
1039,11/29/15,22,17
1040,11/29/15,23,7
1041,11/29/15,2,8
1042,11/29/15,3,1
1043,11/24/15,18,1
1044,11/29/15,3,13
1045,11/29/15,4,13
1046,11/29/15,5,5
1047,11/29/15,6,10
1048,11/29/15,7,4
1049,11/29/15,8,16
1050,11/29/15,9,7
1051,11/28/15,0,1
1052,11/24/15,7,1
1053,11/28/15,0,14
1054,11/28/15,10,20
1055,11/28/15,11,31
1056,11/28/15,12,16
1057,11/28/15,13,27
1058,11/28/15,14,26
1059,11/28/15,15,28
1060,11/28/15,16,29
1061,11/28/15,17,20
1062,11/24/15,7,1
1063,11/28/15,17,40
1064,11/28/15,18,30
1065,11/23/15,0,1
1066,11/28/15,18,5
1067,11/28/15,19,17
1068,11/28/15,21,1
1069,11/28/15,19,29
1070,11/28/15,1,9
1071,11/28/15,20,9
1072,11/28/15,21,1
1073,11/28/15,20,13
1074,11/28/15,21,24
1075,11/28/15,22,23
1076,11/28/15,23,11
1077,11/28/15,2,8
1078,11/28/15,3,9
1079,11/28/15,4,4
1080,11/28/15,7,1
1081,11/28/15,4,10
1082,11/28/15,5,7
1083,11/28/15,6,5
1084,11/28/15,7,7
1085,11/28/15,8,14
1086,11/28/15,9,15
1087,11/27/15,0,19
1088,11/27/15,10,19
1089,11/27/15,11,31
1090,11/27/15,12,32
1091,11/27/15,13,38
1092,11/27/15,14,32
1093,11/27/15,15,28
1094,11/27/15,16,35
1095,11/27/15,17,30
1096,11/27/15,18,3
1097,11/27/15,4,1
1098,11/27/15,18,20
1099,11/27/15,19,19
1100,11/27/15,1,17
1101,11/27/15,20,15
1102,11/27/15,21,11
1103,11/27/15,22,10
1104,11/27/15,4,1
1105,11/27/15,22,9
1106,11/27/15,23,13
1107,11/27/15,2,1
1108,11/27/15,4,1
1109,11/27/15,2,13
1110,11/27/15,3,9
1111,11/27/15,4,4
1112,11/27/15,5,10
1113,11/27/15,6,11
1114,11/27/15,7,11
1115,11/27/15,8,14
1116,11/27/15,9,22
1117,11/26/15,0,11
1118,11/26/15,10,13
1119,11/26/15,11,1
1120,11/26/15,20,1
1121,11/26/15,11,16
1122,11/26/15,12,15
1123,11/26/15,13,28
1124,11/26/15,14,30
1125,11/26/15,15,3
1126,11/25/15,14,1
1127,11/26/15,15,17
1128,11/26/15,16,28
1129,11/26/15,17,29
1130,11/26/15,18,27
1131,11/26/15,19,18
1132,11/26/15,1,4
1133,11/26/15,20,19
1134,11/26/15,21,21
1135,11/26/15,22,21
1136,11/26/15,23,21
1137,11/26/15,2,3
1138,11/23/15,0,1
1139,11/26/15,2,5
1140,11/26/15,3,6
1141,11/26/15,4,7
1142,11/26/15,5,5
1143,11/23/15,10,1
1144,11/26/15,5,2
1145,11/26/15,6,4
1146,11/26/15,7,6
1147,11/26/15,8,10
1148,11/26/15,9,12
1149,11/25/15,0,8
1150,11/25/15,10,41
1151,11/25/15,11,33
